#Species Name	Rabbit
Oryzomys_nitidus	0
Oryzomys_oniscus	0
Oryzomys_palustris	0
Oryzomys_polius	0
Oryzomys_ratticeps	0
Oryzomys_rhabdops	0
Oryzomys_rostratus	0
Oryzomys_saturatior	0
Oryzomys_subflavus	0
Oryzomys_talamancae	0
Oryzomys_xantheolus	0
Oryzomys_yunganus	0
Oxymycterus_akodontius	0
Oxymycterus_angularis	0
Oxymycterus_delator	0
Oxymycterus_hiska	0
Oxymycterus_hispidus	0
Oxymycterus_hucucha	0
Oxymycterus_iheringi	0
Oxymycterus_inca	0
Oxymycterus_nasutus	0
Oxymycterus_paramensis	0
Oxymycterus_roberti	0
Oxymycterus_rufus	0
Phaenomys_ferrugineus	0
Podoxymys_roraimae	0
Punomys_lemminus	0
Reithrodon_auritus	0
Rhagomys_rufescens	0
Rhipidomys_austrinus	0
Rhipidomys_caucensis	0
Rhipidomys_couesi	0
Rhipidomys_fulviventer	0
Rhipidomys_latimanus	0
Rhipidomys_leucodactylus	0
Rhipidomys_macconnelli	0
Rhipidomys_mastacalis	0
Rhipidomys_nitela	0
Rhipidomys_ochrogaster	0
Rhipidomys_scandens	0
Rhipidomys_venezuelae	0
Rhipidomys_venustus	0
Rhipidomys_wetzeli	0
Scolomys_melanops	0
Scolomys_ucayalensis	0
Sigmodontomys_alfari	0
Sigmodontomys_aphrastus	0
Thalpomys_cerradensis	0
Thalpomys_lasiotis	0
Wiedomys_pyrrhorhinos	0
Wilfredomys_oenax	0
Wilfredomys_pictipes	0
Zygodontomys_brevicauda	0
Zygodontomys_brunneus	0
Anotomys_leander	0
Chibchanomys_trichotis	0
Ichthyomys_hydrobates	0
Ichthyomys_pittieri	0
Ichthyomys_stolzmanni	0
Ichthyomys_tweedii	0
Neusticomys_monticolus	0
Neusticomys_mussoi	0
Neusticomys_oyapocki	0
Neusticomys_peruviensis	0
Neusticomys_venezuelae	0
Rheomys_mexicanus	0
Rheomys_raptor	0
Rheomys_thomasi	0
Rheomys_underwoodi	0
Sigmodon_alleni	0
Sigmodon_alstoni	0
Sigmodon_arizonae	0
Sigmodon_fulviventer	0
